date,headline,source,ticker,compound,positive,negative,neutral,polarity,subjectivity
2025-08-03 02:33:31.063229,Breaking: AAPL exceeds growth targets for fiscal year,CNBC,AAPL,0.3818,0.271,0.0,0.729,0.0,0.0
2025-01-05 02:33:31.063229,Breaking: AAPL exceeds growth targets for fiscal year,Bloomberg,AAPL,0.3818,0.271,0.0,0.729,0.0,0.0
2025-07-14 02:33:31.063229,"AAPL reports strong quarterly earnings, beating analyst expectations by 12.8%",Financial Times,AAPL,0.0772,0.231,0.21,0.559,0.43333333333333335,0.7333333333333334
2025-07-03 02:33:31.063229,Market volatility affects AAPL shares amid economic uncertainty,Reuters,AAPL,-0.0516,0.208,0.226,0.566,0.2,0.2
2025-04-08 02:33:31.063229,AAPL stock rallies on better than expected revenue growth,CNBC,AAPL,0.6705,0.44,0.0,0.56,0.2,0.45
2024-09-25 02:33:31.063229,AAPL stock rallies on better than expected revenue growth,WSJ,AAPL,0.6705,0.44,0.0,0.56,0.2,0.45
2025-04-10 02:33:31.063229,"AAPL reports strong quarterly earnings, beating analyst expectations by -3.5%",Bloomberg,AAPL,0.0772,0.231,0.21,0.559,0.43333333333333335,0.7333333333333334
2025-05-13 02:33:31.063229,"AAPL reports strong quarterly earnings, beating analyst expectations by 0%",Bloomberg,AAPL,0.0772,0.231,0.21,0.559,0.43333333333333335,0.7333333333333334
2025-06-27 02:33:31.063229,Technical analysis suggests AAPL stock may break resistance levels,Reuters,AAPL,0.0,0.0,0.0,1.0,0.0,0.1
2024-09-11 02:33:31.063229,Breaking: AAPL exceeds growth targets for fiscal year,Financial Times,AAPL,0.3818,0.271,0.0,0.729,0.0,0.0
2025-02-09 02:33:31.063229,AAPL investment in AI technology shows promising returns,Financial Times,AAPL,0.4019,0.278,0.0,0.722,0.2,0.5
2025-05-18 02:33:31.063229,AAPL warns of headwinds in upcoming quarter,CNBC,AAPL,-0.1027,0.0,0.189,0.811,0.0,0.0
2024-10-11 02:33:31.063229,"AAPL faces regulatory challenges, stock under pressure",WSJ,AAPL,-0.2263,0.153,0.259,0.588,0.0,0.0
2025-06-02 02:33:31.063229,AAPL warns of headwinds in upcoming quarter,Financial Times,AAPL,-0.1027,0.0,0.189,0.811,0.0,0.0
2025-03-06 02:33:31.063229,"AAPL reports strong quarterly earnings, beating analyst expectations by 4.8%",CNBC,AAPL,0.0772,0.231,0.21,0.559,0.43333333333333335,0.7333333333333334
2025-07-03 02:33:31.063229,Analysts upgrade AAPL stock following positive market trends,CNBC,AAPL,0.5574,0.34,0.0,0.66,0.11363636363636363,0.3227272727272727
2025-05-01 02:33:31.063229,Technical analysis suggests AAPL stock may break resistance levels,Financial Times,AAPL,0.0,0.0,0.0,1.0,0.0,0.1
2025-02-19 02:33:31.063229,"AAPL faces regulatory challenges, stock under pressure",CNBC,AAPL,-0.2263,0.153,0.259,0.588,0.0,0.0
2024-11-16 02:33:31.063229,AAPL shares decline amid sector-wide selloff,CNBC,AAPL,0.296,0.306,0.0,0.694,0.0,0.0
2025-09-03 02:33:31.063229,Institutional investors increase positions in AAPL,Financial Times,AAPL,0.3182,0.315,0.0,0.685,0.0,0.0
2024-09-22 02:33:31.063229,Technical analysis suggests AAPL stock may break resistance levels,WSJ,AAPL,0.0,0.0,0.0,1.0,0.0,0.1
2025-04-03 02:33:31.063229,AAPL investment in AI technology shows promising returns,Reuters,AAPL,0.4019,0.278,0.0,0.722,0.2,0.5
